Class #,Found In Class Map?,Class Name
112,Yes,First Level Test 2
113,Yes,First Level Test 3
121,Yes,Second Level Test 1
123,Yes,Second Level Test 3
133,Yes,Third Level Test 3
1FFS,Yes,FEI Freestyle Test of Choice
1FI2EF,Yes,FEI Intermediate II Markel/USEF Qualifying
1PSG,Yes,FEI Prix St. Georges
1T3,Yes,Training Level Test 3
212,Yes,First Level Test 2
213,Yes,First Level Test 3
233,Yes,Third Level Test 3
2I1,Yes,FEI Intermediare I
2I2,Yes,FEI Intermediare II
2T3,Yes,Training Level Test 3
2YH,Yes,Young Horse Test of Choice (excl 7YO)
331,Yes,Third Level Test 1
333,Yes,Third Level Test 3
3FFS,Yes,FEI Freestyle Test of Choice
3PSG,Yes,FEI Prix St. Georges
DHGEF,Yes,USEF Developing Horse Grand Prix Test Markel/USEF Qualifying
H122,Yes,Second Level Test 2
H1PSG,Yes,FEI Prix. St. Georges
H1UB,Yes,USDF Introductory Test B
H223,Yes,Second Level Test 3
H2I1,Yes,FEI Intermediare I
H2PSG,Yes,FEI Prix St. Georges
H2UC,Yes,USDF Introductory Test C
US4EF,Yes,USEF 4-Year-Old Test Markel/USEF Qualifying
